Code,gdp_Value,date
ARG,-0.562246523,01-07-2021
ARG,4.039905962,01-10-2021
ARG,1.549841884,01-01-2021
SVN,0.584493235,01-04-2019
SVN,-0.308393338,01-07-2019
SVN,1.235404463,01-10-2019
SVN,1.37898751,01-01-2019
SVN,-4.53763119,01-04-2020
SVN,-9.460548549,01-07-2020
SVN,11.7982734,01-10-2020
SVN,-0.23242383,01-01-2020
SVN,1.598583829,01-04-2021
SVN,1.949364233,01-07-2021
SVN,1.290442845,01-10-2021
SVN,5.282223956,01-01-2021
SVN,0.798775493,01-04-2022
FIN,0.736176824,01-04-2019
FIN,0.916562976,01-07-2019
FIN,-0.065990553,01-10-2019
FIN,-0.246759114,01-01-2019
FIN,-0.270016027,01-04-2020
FIN,-6.162553058,01-07-2020
FIN,5.011075743,01-10-2020
FIN,0.925318632,01-01-2020
FIN,-0.124703609,01-04-2021
FIN,1.813097918,01-07-2021
FIN,0.994904569,01-10-2021
FIN,0.704622804,01-01-2021
FIN,0.441553589,01-04-2022
BRA,0.521661883,01-04-2019
BRA,0.575294075,01-07-2019
BRA,-0.005114589,01-10-2019
BRA,0.280390505,01-01-2019
BRA,-2.220685609,01-04-2020
BRA,-8.861983915,01-07-2020
BRA,7.802520923,01-10-2020
BRA,3.007517211,01-01-2020
BRA,1.41943789,01-04-2021
BRA,-0.33814568,01-07-2021
BRA,-0.061936185,01-10-2021
BRA,0.544195167,01-01-2021
NLD,0.610960228,01-04-2019
NLD,0.417040291,01-07-2019
NLD,0.36447798,01-10-2019
NLD,0.504342086,01-01-2019
NLD,-1.643390807,01-04-2020
NLD,-8.375905344,01-07-2020
NLD,7.505689788,01-10-2020
NLD,0.000280038,01-01-2020
NLD,-0.516246229,01-04-2021
NLD,3.753976039,01-07-2021
NLD,2.034612473,01-10-2021
NLD,1.008772195,01-01-2021
NLD,0.026801524,01-04-2022
USA,0.59779029,01-04-2019
USA,0.792924408,01-07-2019
USA,0.685498791,01-10-2019
USA,0.469097618,01-01-2019
USA,-1.303582746,01-04-2020
USA,-8.937250501,01-07-2020
USA,7.547534636,01-10-2020
USA,1.115276766,01-01-2020
USA,1.533889627,01-04-2021
USA,1.64074654,01-07-2021
USA,0.570948111,01-10-2021
USA,1.680778266,01-01-2021
USA,-0.355417395,01-04-2022
SVK,0.904949678,01-04-2019
SVK,0.347874646,01-07-2019
SVK,0.240853989,01-10-2019
SVK,0.519030784,01-01-2019
SVK,-3.872913717,01-04-2020
SVK,-7.212549663,01-07-2020
SVK,9.064177923,01-10-2020
SVK,0.430804656,01-01-2020
SVK,-1.42018584,01-04-2021
SVK,1.900386281,01-07-2021
SVK,0.358911607,01-10-2021
SVK,0.353367167,01-01-2021
SVK,0.360030805,01-04-2022
MEX,0.083220111,01-04-2019
MEX,-0.386137965,01-07-2019
MEX,0.514481043,01-10-2019
MEX,-0.909181163,01-01-2019
MEX,-0.913194541,01-04-2020
MEX,-17.85009951,01-07-2020
MEX,13.49196719,01-10-2020
MEX,3.476657098,01-01-2020
MEX,0.76438718,01-04-2021
MEX,1.04286433,01-07-2021
MEX,-0.698398303,01-10-2021
MEX,0.020623217,01-01-2021
MEX,1.237696969,01-04-2022
BEL,0.244771411,01-04-2019
BEL,0.431373613,01-07-2019
BEL,0.669944351,01-10-2019
BEL,0.639546325,01-01-2019
BEL,-3.152524597,01-04-2020
BEL,-11.63573959,01-07-2020
BEL,11.89464829,01-10-2020
BEL,-0.115091888,01-01-2020
BEL,1.316718704,01-04-2021
BEL,1.711408473,01-07-2021
BEL,2.101912551,01-10-2021
BEL,0.426565398,01-01-2021
BEL,0.333295226,01-04-2022
ISR,1.418521626,01-04-2019
ISR,0.37089414,01-07-2019
ISR,1.059416202,01-10-2019
ISR,1.096246646,01-01-2019
ISR,-0.934477719,01-04-2020
ISR,-9.250583224,01-07-2020
ISR,8.372358777,01-10-2020
ISR,2.156354737,01-01-2020
ISR,-0.214483186,01-04-2021
ISR,3.919207151,01-07-2021
ISR,1.590382255,01-10-2021
ISR,3.693515669,01-01-2021
ISR,-0.412984578,01-04-2022
TUR,1.901026683,01-04-2019
TUR,2.379951147,01-07-2019
TUR,0.050625441,01-10-2019
TUR,1.364629963,01-01-2019
TUR,0.446242923,01-04-2020
TUR,-10.76985076,01-07-2020
TUR,16.40050182,01-10-2020
TUR,1.202524785,01-01-2020
TUR,2.204118947,01-04-2021
TUR,1.688076645,01-07-2021
TUR,2.773953075,01-10-2021
TUR,1.510970702,01-01-2021
IND,1.06389,01-04-2019
IND,1.07471,01-07-2019
IND,0.9937,01-10-2019
IND,0.00188,01-01-2019
IND,0.05446,01-04-2020
IND,-24.16165,01-07-2020
IND,24.8159,01-10-2020
IND,6.09667,01-01-2020
IND,1.18076,01-04-2021
IND,-10.50918,01-07-2021
IND,13.73106,01-10-2021
IND,1.8396,01-01-2021
LVA,1.085298014,01-04-2019
LVA,-0.07107679,01-07-2019
LVA,-0.595525669,01-10-2019
LVA,0.443466089,01-01-2019
LVA,-1.532329527,01-04-2020
LVA,-7.076381643,01-07-2020
LVA,5.552349288,01-10-2020
LVA,1.831229731,01-01-2020
LVA,0.46362229,01-04-2021
LVA,2.010288925,01-07-2021
LVA,0.464454805,01-10-2021
